"player_id","name","height_in","weight","position"
"201145","Jeff Green","80","235","Forward"
"1630182","Josh Green","77","200","Guard"
"1629656","Quentin Grimes","76","210","Guard"
"1631243","Mouhamed Gueye","82","210","Forward"
"1629060","Rui Hachimura","80","230","Forward"
"1630169","Tyrese Haliburton","77","185","Guard"
"1641790","PJ Hall","82","245","Center"
"203501","Tim Hardaway Jr.","77","205","Guard-Forward"
"201935","James Harden","77","220","Guard"
"1630702","Jaden Hardy","75","198","Guard"
"1641989","Elijah Harkless","75","195","Guard"
"1631199","Ron Harper Jr.","76","233","Guard-Forward"
"203914","Gary Harris","76","210","Guard"
"202699","Tobias Harris","80","226","Forward"
"1628404","Josh Hart","76","215","Guard"
"1628392","Isaiah Hartenstein","84","250","Center-Forward"
"1630573","Sam Hauser","79","217","Forward"
"1641722","Jordan Hawkins","77","190","Guard"
"1629637","Jaxson Hayes","84","220","Center-Forward"
"1630165","Killian Hayes","77","195","Guard"
"1630703","Scoot Henderson","75","206","Guard"
"1641707","Taylor Hendricks","81","215","Forward"
"1629639","Tyler Herro","77","195","Guard"
"1627741","Buddy Hield","76","220","Guard"
"1629312","Haywood Highsmith","77","220","Forward"
"1628988","Aaron Holiday","72","185","Guard"
"201950","Jrue Holiday","76","205","Guard"
"1641842","Ronald Holland II","80","206","Forward"
"1626158","Richaun Holmes","81","235","Forward"
"1641747","DaRon Holmes II","82","225","Forward"
"1631096","Chet Holmgren","85","208","Center-Forward"
"1641720","Jalen Hood-Schifino","77","210","Guard"
"201143","Al Horford","81","240","Center-Forward"
"1629659","Talen Horton-Tucker","76","234","Guard"
"1631216","Caleb Houstan","80","205","Guard"
"1641724","Jett Howard","78","215","Guard"
"1628989","Kevin Huerter","79","198","Guard-Forward"
"1630643","Jay Huff","85","240","Center"
"1630574","Ariel Hukporti","83","246","Center"
"1629631","De'Andre Hunter","80","221","Forward-Guard"
"1630538","Bones Hyland","74","169","Guard"
"1642345","Oso Ighodaro","84","235","Forward"
"204060","Joe Ingles","80","220","Forward-Guard"
"1627742","Brandon Ingram","80","190","Forward"
"1631127","Harrison Ingram","77","230","Forward"
"202681","Kyrie Irving","74","195","Guard"
"1628371","Jonathan Isaac","82","230","Forward"
"1631093","Jaden Ivey","76","195","Guard"
"1641713","GG Jackson","81","210","Forward"
